Date,Close-Stock-1,Close-Stock-2,Close-Stock-3,Close-Stock-4,Close-Stock-5
2011-08-04,0.8956049,0.6162269,0.05860609,0.8956049,0.8956049
2011-08-05,0.19652918,0.05860609,0.05860609,0.8956049,0.8956049
2011-08-08,0.19652918,0.05860609,0.05860609,0.8956049,0.8956049
2011-08-09,0.05860609,0.05860609,0.19652918,0.8956049,0.8956049
2011-08-10,0.8956049,0.05860609,0.6848503,0.8956049,0.8956049
2011-08-11,0.89255786,0.05860609,0.6848503,0.8956049,0.8956049
2011-08-12,0.73562384,0.05860609,0.8868888,0.8956049,0.8956049
2011-08-16,0.62106204,0.05860609,0.8956049,0.8956049,0.8956049
2011-08-17,0.05860609,0.05860609,0.8956049,0.8956049,0.8956049
2011-08-18,0.05860609,0.6848503,0.8956049,0.73562384,0.73562384
2011-08-19,0.05860609,0.05860609,0.80315834,0.05860609,0.47830373
2011-08-22,0.05860609,0.05860609,0.88803124,0.05860609,0.05860609
2011-08-23,0.05860609,0.05860609,0.8956049,0.05860609,0.05860609
2011-08-24,0.05860609,0.05860609,0.8956049,0.05860609,0.19652918
2011-08-25,0.05860609,0.12722936,0.8956049,0.05860609,0.05860609
2011-08-26,0.05860609,0.05860609,0.8956049,0.05860609,0.05860609
2011-08-29,0.05860609,0.05860609,0.8956049,0.05860609,0.05860609
2011-08-30,0.05860609,0.47830373,0.8956049,0.6848503,0.05860609
2011-09-02,0.72357917,0.62106204,0.8956049,0.68750083,0.47830373
2011-09-05,0.5469271,0.05860609,0.8956049,0.6848503,0.19652918
2011-09-06,0.19652918,0.05860609,0.8956049,0.6848503,0.6848503
2011-09-07,0.8956049,0.05860609,0.8956049,0.8616087,0.8866967
2011-09-08,0.8956049,0.05860609,0.8103049,0.88803124,0.89033264
2011-09-09,0.88803124,0.05860609,0.8537649,0.8956049,0.72357917
2011-09-12,0.12722936,0.05860609,0.7869253,0.6848503,0.05860609
2011-09-13,0.6848503,0.05860609,0.6905031,0.6162269,0.05860609
2011-09-14,0.2780738,0.05860609,0.6848503,0.05860609,0.05860609
2011-09-15,0.8956049,0.05860609,0.5469271,0.6848503,0.6162269
2011-09-16,0.8956049,0.05860609,0.47830373,0.6848503,0.6848503
2011-09-19,0.8956049,0.05860609,0.05860609,0.6848503,0.6848503
2011-09-20,0.8956049,0.05860609,0.05860609,0.2651525,0.70638055
2011-09-21,0.8956049,0.05860609,0.12722936,0.794595,0.89033264
2011-09-22,0.8219297,0.05860609,0.05860609,0.6848503,0.6848503
2011-09-23,0.05860609,0.05860609,0.12722936,0.05860609,0.6162269
2011-09-26,0.05860609,0.05860609,0.05860609,0.15899155,0.05860609
2011-09-27,0.05860609,0.05860609,0.5469271,0.6848503,0.05860609
