Date,Close-Stock-1,Close-Stock-2,Close-Stock-3,Close-Stock-4,Close-Stock-5
2011-08-04,2545.3,2232.0,2200.8,2545.3,2545.3
2011-08-05,2305.15,1853.05,2146.6,2559.15,2559.15
2011-08-08,2218.25,1853.05,2187.45,2545.3,2545.3
2011-08-09,2049.55,1855.1,2297.25,2559.15,2559.15
2011-08-10,2559.15,1963.9,2395.75,2545.3,2545.3
2011-08-11,2532.2,1904.4,2393.4,2545.3,2545.3
2011-08-12,2322.7,1919.0,2515.55,2559.15,2545.3
2011-08-16,2178.8,2073.15,2559.15,2545.3,2545.3
2011-08-17,2231.3,2315.7,2559.15,2559.15,2559.15
2011-08-18,2264.2,2372.6,2541.15,2340.35,2391.0
2011-08-19,2022.3,2185.6,2442.85,2187.45,2162.9
2011-08-22,2072.55,2047.85,2515.55,2201.7,2117.55
2011-08-23,2002.85,2122.45,2545.3,2239.0,2218.25
2011-08-24,2082.0,2172.5,2559.15,2231.3,2218.25
2011-08-25,1855.1,2206.05,2545.3,2154.45,2039.6
2011-08-26,1853.05,1904.4,2545.3,2090.7,1947.65
2011-08-29,1904.4,2047.3,2545.3,2231.3,2047.85
2011-08-30,2231.3,2122.45,2545.3,2349.3,2208.4
2011-09-02,2405.75,2049.45,2559.15,2423.05,2178.8
2011-09-05,2273.8,2206.05,2559.15,2372.6,2315.7
2011-09-06,2297.25,2206.05,2559.15,2323.05,2385.85
2011-09-07,2515.55,2122.45,2545.3,2500.75,2532.2
2011-09-08,2545.3,2086.1,2470.75,2515.55,2515.55
2011-09-09,2515.55,1950.7,2470.75,2515.55,2398.45
2011-09-12,2240.2,1853.05,2470.75,2297.9,2172.5
2011-09-13,2307.6,1855.1,2423.05,2269.45,2149.25
2011-09-14,2311.8,1853.05,2307.6,2261.05,2200.8
2011-09-15,2515.55,1950.7,2297.9,2297.9,2290.15
2011-09-16,2545.3,1946.3,2162.9,2395.3,2423.05
2011-09-19,2545.3,1853.05,2095.15,2297.9,2354.75
2011-09-20,2545.3,1853.05,2164.2,2343.0,2433.55
2011-09-21,2559.15,1945.7,2231.3,2470.75,2515.55
2011-09-22,2489.1,1853.05,2240.2,2346.35,2423.05
2011-09-23,2084.3,1853.05,2254.3,2231.3,2297.25
2011-09-26,1855.1,1853.05,2196.6,2231.3,2146.6
2011-09-27,2082.0,1853.05,2239.0,2423.05,2231.3
2011-09-28,2086.1,1853.05,2308.2,2326.65,2239.0
2011-09-29,2315.7,2049.45,2375.45,2385.85,2208.4
2011-09-30,2315.7,1976.05,2354.75,2375.95,2049.45
2011-10-03,2002.85,1853.05,2269.45,2196.6,1885.7
2011-10-04,1885.7,1853.05,2305.15,2047.85,1853.05
2011-10-05,1853.05,1853.05,2117.55,1855.1,1853.05
2011-10-07,1950.7,1916.15,2218.25,2095.15,2002.85
2011-10-10,1976.05,2022.3,2398.45,2205.3,2038.95
2011-10-11,2095.15,2095.15,2423.05,2172.5,2149.3
2011-10-12,2121.05,2231.3,2423.05,2231.3,2200.8
2011-10-13,2375.95,2254.75,2423.05,2391.75,2254.3
2011-10-14,2367.05,2372.6,2333.75,2416.15,2305.15
2011-10-17,2470.75,2423.05,2375.95,2470.75,2423.05
2011-10-18,2423.05,2354.75,2255.3,2375.95,2273.8
2011-10-19,2559.15,2470.75,2255.3,2470.75,2416.15
2011-10-20,2545.3,2393.4,2354.75,2375.95,2376.5
2011-10-21,2545.3,2423.05,2162.9,2353.3,2423.05
2011-10-24,2545.3,2515.55,2095.15,2389.2,2559.15
2011-10-25,2049.45,2559.15,2205.3,2326.65,2489.1
2011-10-26,2372.6,2545.3,2196.6,2354.75,2423.05
2011-10-28,2559.15,2559.15,2149.3,2559.15,2559.15
2011-10-31,2559.15,2559.15,2375.45,2559.15,2532.2
2011-11-01,2559.15,2559.15,2354.75,2501.25,2500.75
2011-11-02,2545.3,2545.3,2343.0,2416.15,2423.05
2011-11-03,2500.75,2545.3,2376.5,2360.3,2353.3
2011-11-04,2545.3,2545.3,2515.55,2423.05,2470.75
2011-11-08,2545.3,2545.3,2501.25,2386.25,2500.75
2011-11-09,2532.2,2559.15,2380.3,2372.6,2433.55
2011-11-11,2297.9,2559.15,2297.25,2084.3,2214.75
2011-11-14,2423.05,2545.3,2273.8,2094.85,2164.2
2011-11-15,2400.6,2545.3,2172.5,2002.85,2002.85
2011-11-16,2255.3,2545.3,2117.55,1919.0,1919.0
2011-11-17,2154.45,2545.3,2122.45,1904.4,1885.7
2011-11-18,2022.3,2218.25,2185.6,1853.05,1853.05
2011-11-21,1855.1,2086.1,1998.75,1853.05,1853.05
2011-11-22,1853.05,1919.0,1905.6,1853.05,1853.05
2011-11-23,1853.05,1853.05,1853.05,1853.05,1853.05
2011-11-24,1853.05,1853.05,1853.05,1853.05,1853.05
2011-11-25,1853.05,1853.05,1880.9,1853.05,1853.05
2011-11-28,1853.05,1853.05,1937.3,1853.05,1855.1
2011-11-29,1853.05,1853.05,1919.0,1853.05,1855.1
2011-11-30,1853.05,1973.15,1853.05,1853.05,1853.05
2011-12-01,2039.6,2372.6,1853.05,1853.05,1853.05
2011-12-02,2205.3,2416.15,1853.05,1855.1,1880.9
2011-12-05,2149.3,2326.65,1853.05,1885.7,1996.1
2011-12-07,2273.8,2470.75,1853.05,1853.05,2082.0
2011-12-08,2114.8,2047.85,1853.05,1853.05,1947.65
2011-12-09,1853.05,1853.05,1853.05,1853.05,1905.6
2011-12-12,1853.05,1853.05,1853.05,1853.05,1853.05
2011-12-13,1853.05,1853.05,1853.05,1853.05,1853.05
2011-12-14,1853.05,1996.1,1853.05,1853.05,1853.05
2011-12-15,1853.05,1996.1,1853.05,1853.05,1853.05
2011-12-16,1853.05,2002.85,1853.05,1853.05,1853.05
2011-12-19,510.85,1853.05,1853.05,1853.05,1853.05
2011-12-20,510.85,2086.1,1853.05,1853.05,1853.05
2011-12-21,1853.05,2095.15,1853.05,1853.05,1853.05
2011-12-22,1853.05,2267.35,1853.05,1853.05,1853.05
2011-12-23,1853.05,2307.6,1853.05,1853.05,1853.05
2011-12-26,1853.05,2376.5,510.8499999999999,1853.05,1853.05
2011-12-27,1853.05,2390.5,510.8499999999999,1853.05,1853.05
2011-12-28,1853.05,2238.25,1853.0500000000002,1853.05,1853.05
