Date,Close-Stock-1,Close-Stock-2,Close-Stock-3,Close-Stock-4,Close-Stock-5
2010-06-01,1855.1,2545.3,510.85,1853.05,1853.05
2010-06-02,1853.05,2545.3,510.85,1853.05,1853.05
2010-06-03,1905.6,2545.3,1853.0500000000002,1853.05,1853.05
2010-06-04,1885.7,2545.3,510.85,1853.05,1853.05
2010-06-07,1880.9,2545.3,1853.05,510.85,1853.05
2010-06-08,1880.9,2545.3,1853.05,1853.05,1853.05
2010-06-09,1880.9,2545.3,1853.05,1853.05,1853.05
2010-06-10,1916.15,2545.3,1853.05,1853.05,1853.05
2010-06-11,1950.7,2545.3,1853.05,1853.05,1853.05
2010-06-14,1973.15,2545.3,1853.05,1853.05,1853.05
2010-06-15,1963.9,2545.3,1853.05,1853.05,1853.05
2010-06-16,1976.05,2545.3,1853.05,1853.05,1853.05
2010-06-17,1996.1,2545.3,1853.05,1853.05,1853.05
2010-06-18,1991.7,2545.3,1853.05,1853.05,1853.05
2010-06-21,2002.85,2545.3,1853.05,1853.05,1853.05
2010-06-22,1991.7,2545.3,1853.05,1853.05,1853.05
2010-06-23,1998.75,2545.3,1853.05,1853.05,1853.05
2010-06-24,2002.85,2559.15,1853.05,1853.05,1853.05
2010-06-25,1947.65,2545.3,1853.05,1853.05,1853.05
2010-06-28,1950.7,2545.3,1853.05,1853.05,1853.05
2010-06-29,1904.4,2545.3,1853.05,1853.05,1853.05
2010-06-30,1919.0,2545.3,1853.05,1853.05,1853.05
2010-07-01,1907.4,2545.3,1853.05,1853.05,1853.05
2010-07-02,1912.85,2545.3,1853.05,1853.05,1853.05
2010-07-05,1912.85,2545.3,1853.05,1853.05,1853.05
2010-07-06,1964.0,2545.3,1853.05,1853.05,1853.05
2010-07-07,1937.3,2545.3,1853.05,1853.05,1853.05
2010-07-08,1945.7,2545.3,1853.05,1853.05,1853.05
2010-07-09,1976.05,2545.3,1853.05,1853.05,1855.1
2010-07-12,2022.3,2545.3,1853.05,1853.05,1964.0
2010-07-13,2052.25,2545.3,1853.05,1853.05,1973.15
2010-07-14,2090.7,2545.3,1853.05,1853.05,2082.0
2010-07-15,2073.15,2545.3,1853.05,1853.05,2146.6
2010-07-16,2019.9,2545.3,1853.05,1853.05,2218.25
2010-07-19,2047.85,2545.3,1853.05,1853.05,2231.3
2010-07-20,2052.25,2545.3,1853.05,1853.05,2305.15
2010-07-21,2019.9,2545.3,1853.05,1853.05,2208.4
2010-07-22,2060.95,2559.15,1853.05,1853.05,2231.3
2010-07-23,2039.6,2559.15,1855.1,1853.05,2346.35
2010-07-26,2038.95,2545.3,1855.1,1853.05,2354.75
2010-07-27,2072.55,2545.3,1853.05,1853.05,2323.05
2010-07-28,2086.1,2545.3,1880.9,1853.05,2239.0
2010-07-29,2100.6,2545.3,2049.45,1853.05,2240.2
2010-07-30,2126.9,2545.3,2047.3,1853.05,2239.0
2010-08-02,2122.45,2559.15,1996.1,1853.05,2192.25
2010-08-03,2122.45,1853.05,1976.05,1853.05,2240.2
2010-08-04,2094.85,1853.05,1947.65,1853.05,2149.3
2010-08-05,2100.25,1853.05,2002.75,1853.05,2114.8
2010-08-06,2090.7,1853.05,1996.1,1853.05,2095.15
2010-08-09,2082.0,1853.05,2047.85,1853.05,2015.85
2010-08-10,2082.0,1853.05,2073.15,1880.9,2015.85
2010-08-11,2090.7,1853.05,2100.6,1880.9,1947.65
2010-08-12,2073.15,1853.05,2073.15,1853.05,2022.3
2010-08-13,2066.8,1853.05,2100.6,1855.1,2095.15
2010-08-16,2105.45,1853.05,2086.1,1853.05,2149.3
2010-08-17,2121.05,1853.05,1976.05,1853.05,2131.7
2010-08-18,2187.45,1853.05,2047.85,1853.05,2149.3
2010-08-19,2206.05,1880.9,2218.25,1916.15,2238.25
2010-08-20,2192.25,1855.1,2279.9,1947.65,2251.05
2010-08-23,2199.1,1853.05,2255.3,1946.3,2307.6
2010-08-24,2201.7,1853.05,2264.2,2002.85,2255.3
2010-08-25,2190.95,1853.05,2264.2,1950.7,2273.8
2010-08-26,2200.8,1855.1,2206.05,1885.7,2273.8
2010-08-27,2146.6,1855.1,2206.05,1853.05,2172.5
2010-08-30,2131.7,1853.05,2149.3,1853.05,2114.1
2010-08-31,2134.25,1853.05,2218.25,1853.05,2038.95
2010-09-01,2149.25,1855.1,2239.0,1964.0,2192.25
2010-09-02,2187.45,1855.1,2282.45,1963.9,2333.75
2010-09-03,2187.45,1855.1,2315.7,1945.7,2303.6
2010-09-06,2192.25,1880.9,2391.75,2049.45,2376.5
